deputado1,deputado2,peso
Mauricio Neves,Luiz Carlos Motta,1
Mauricio Neves,Pedro Uczai,1
Mauricio Neves,Paulo Abi-Ackel,1
Mauricio Neves,Felipe Carreras,1
Mauricio Neves,Gilvan da Federal,1
Mauricio Neves,Toninho Wandscheer,1
Mauricio Neves,Márcio Jerry,1
Mauricio Neves,Félix Mendonça Júnior,1
Mauricio Neves,Bebeto,1
Mauricio Neves,Yury do Paredão,1
Mauricio Neves,Alencar Santana,3
Mauricio Neves,Valmir Assunção,2
Mauricio Neves,Zeca Dirceu,1
Mauricio Neves,Marcelo Moraes,1
Mauricio Neves,Adolfo Viana,1
Mauricio Neves,Aureo Ribeiro,1
Mauricio Neves,Gutemberg Reis,1
Mauricio Neves,Marcos Pollon,1
Mauricio Neves,Heitor Schuch,1
Mauricio Neves,José Medeiros,1
Mauricio Neves,Luiza Erundina,1
Mauricio Neves,Ricardo Abrão,1
Mauricio Neves,Antônio Doido,1
Mauricio Neves,Clarissa Tércio,1
Mauricio Neves,Zé Neto,1
Mauricio Neves,Marcos Tavares,2
Mauricio Neves,Bruno Farias,1
Mauricio Neves,Luiz Antônio Corrêa,1
Mauricio Neves,Lázaro Botelho,1
Mauricio Neves,Da Vitoria,1
Mauricio Neves,Marco Brasil,1
Mauricio Neves,Cobalchini,2
Mauricio Neves,Luizianne Lins,1
Mauricio Neves,Castro Neto,1
Mauricio Neves,Sargento Gonçalves,1
Mauricio Neves,Carlos Chiodini,1
Mauricio Neves,Emanuel Pinheiro Neto,1
Mauricio Neves,Leônidas Cristino,1
Mauricio Neves,Rodrigo Estacho,1
Mauricio Neves,Carlos Zarattini,1
Mauricio Neves,Mario Frias,1
Mauricio Neves,Greyce Elias,1
Mauricio Neves,Paulo Guedes,1
Mauricio Neves,Prof. Reginaldo Veras,1
Mauricio Neves,Orlando Silva,1
Mauricio Neves,Reginaldo Lopes,1
Mauricio Neves,Sergio Souza,1
Mauricio Neves,Delegado Fabio Costa,3
Mauricio Neves,Pastor Diniz,1
Mauricio Neves,Henderson Pinto,1
Mauricio Neves,Lebrão,1
Mauricio Neves,Paulo Azi,1
Mauricio Neves,Clodoaldo Magalhães,1
Mauricio Neves,Rafael Prudente,1
Mauricio Neves,Ivan Valente,1
Mauricio Neves,Domingos Neto,1
Mauricio Neves,Igor Timo,1
Mauricio Neves,Delegado Ramagem,1
Mauricio Neves,Helena Lima,1
Mauricio Neves,Neto Carletto,1
Mauricio Neves,Adriano do Baldy,1
Mauricio Neves,Márcio Marinho,1
Mauricio Neves,Vinicius Gurgel,1
Mauricio Neves,Luciano Vieira,1
Mauricio Neves,Keniston Braga,1
Mauricio Neves,Silvia Cristina,1
Mauricio Neves,Luciano Alves,1
Mauricio Neves,Marcos Aurélio Sampaio,1
Mauricio Neves,Jones Moura,1
Mauricio Neves,Carla Zambelli,1
Mauricio Neves,Sâmia Bomfim,3
Mauricio Neves,Célia Xakriabá,1
Mauricio Neves,Dra. Alessandra Haber,1
Mauricio Neves,Cristiane Lopes,1
Mauricio Neves,Lindbergh Farias,1
Mauricio Neves,Chiquinho Brazão,1
Mauricio Neves,Bruno Ganem,1
Mauricio Neves,Juliana Cardoso,1
Mauricio Neves,Daniel Almeida,1
Mauricio Neves,Newton Cardoso Jr,1
Mauricio Neves,Renata Abreu,1
Mauricio Neves,Daniel Agrobom,1
Mauricio Neves,Paulinho Freire,1
Mauricio Neves,Rosana Valle,1
Mauricio Neves,Afonso Hamm,1
Mauricio Neves,Tião Medeiros,1
Mauricio Neves,Bia Kicis,1
Mauricio Neves,Capitão Augusto,1
Mauricio Neves,Amanda Gentil,1
Mauricio Neves,Osmar Terra,1
Mauricio Neves,Sanderson,1
Mauricio Neves,Erika Hilton,1
Mauricio Neves,Professora Luciene Cavalcante,2
Mauricio Neves,Luiz Lima,1
Mauricio Neves,Fábio Teruel,1
Mauricio Neves,AJ Albuquerque,1
Mauricio Neves,Jorge Goetten,1
Mauricio Neves,Rogério Correia,1
Mauricio Neves,Robinson Faria,1
Mauricio Neves,Airton Faleiro,1
Mauricio Neves,Paulo Freire Costa,1
Mauricio Neves,Nikolas Ferreira,1
Mauricio Neves,Icaro de Valmir,1
Mauricio Neves,Leur Lomanto Júnior,1
Mauricio Neves,Weliton Prado,1
Mauricio Neves,Eros Biondini,1
Mauricio Neves,Eriberto Medeiros,1
Mauricio Neves,Mendonça Filho,1
Mauricio Neves,Roberto Monteiro,1
Mauricio Neves,Dr. Francisco,1
Mauricio Neves,Antonio Brito,1
Mauricio Neves,Danilo Forte,1
Mauricio Neves,Jandira Feghali,1
Mauricio Neves,Adilson Barroso,1
Mauricio Neves,Luiz Fernando Faria,1
Mauricio Neves,Evair Vieira de Melo,3
Mauricio Neves,Fernanda Pessoa,1
Mauricio Neves,Moses Rodrigues,1
Mauricio Neves,Antônia Lúcia,1
Mauricio Neves,Gervásio Maia,1
Mauricio Neves,Coronel Ulysses,3
Mauricio Neves,Thiago Flores,1
Mauricio Neves,Vicentinho,1
Mauricio Neves,Padre João,2
Mauricio Neves,Daniela Reinehr,1
Mauricio Neves,Andreia Siqueira,1
Mauricio Neves,Soraya Santos,1
Mauricio Neves,Marcelo Álvaro Antônio,1
Mauricio Neves,Delegada Ione,1
Mauricio Neves,Pezenti,1
Mauricio Neves,Enfermeira Ana Paula,1
Mauricio Neves,Luiz Couto,1
Mauricio Neves,Delegado Paulo Bilynskyj,1
Mauricio Neves,Iza Arruda,1
Mauricio Neves,Fernando Mineiro,1
Mauricio Neves,Delegado Palumbo,1
Mauricio Neves,Delegada Katarina,2
Mauricio Neves,Alfredo Gaspar,3
Mauricio Neves,Dr Benjamim,1
Mauricio Neves,Marcelo Queiroz,1
Mauricio Neves,Rodrigo Gambale,1
Mauricio Neves,Giacobo,1
Mauricio Neves,Fernando Rodolfo,1
Mauricio Neves,Pompeo de Mattos,1
Mauricio Neves,Guilherme Uchoa,1
Mauricio Neves,Fausto Santos Jr.,1
Mauricio Neves,Carlos Henrique Gaguim,1
Mauricio Neves,Capitão Alden,3
Mauricio Neves,Ricardo Maia,1
Mauricio Neves,Natália Bonavides,1
Mauricio Neves,Hercílio Coelho Diniz,3
Mauricio Neves,Damião Feliciano,1
Mauricio Neves,José Rocha,1
Mauricio Neves,Júnior Ferrari,1
Mauricio Neves,Waldemar Oliveira,2
Mauricio Neves,Coronel Meira,1
Mauricio Neves,Paulo Foletto,1
